pid,center_gps,coordinate,photo_counts,matched_aoi,matched_aid
0,"[34.98598736, 135.75379232]","[[34.986268, 135.754108], [34.986268, 135.75325], [34.985494, 135.754108], [34.985494, 135.75325]]",14,[],[]
1,"[35.014356, 135.7456199]","[[35.014813, 135.745868], [35.014813, 135.745525], [35.014321, 135.745868], [35.014321, 135.745525]]",15,"['Nijō Castle, 二条城']",[43]
2,"[35.0133153, 135.74627701]","[[35.013683, 135.746799], [35.013683, 135.745868], [35.012666, 135.746799], [35.012666, 135.745868]]",25,"['Nijō Castle, 二条城']",[43]
3,"[35.01289506, 135.7486405]","[[35.013407, 135.749205], [35.013407, 135.748166], [35.012142, 135.749205], [35.012142, 135.748166]]",341,"['Nijō Castle, 二条城']",[43]
4,"[35.01125755, 135.74793528]","[[35.012083, 135.748271], [35.012083, 135.747756], [35.010877, 135.748271], [35.010877, 135.747756]]",1086,[],[]
5,"[35.0110144, 135.74730493]","[[35.011158, 135.747585], [35.011158, 135.746996], [35.010877, 135.747585], [35.010877, 135.746996]]",43,[],[]
6,"[35.01305093, 135.75330339]","[[35.0135, 135.7535], [35.0135, 135.753006], [35.012705, 135.7535], [35.012705, 135.753006]]",10,[],[]
7,"[35.0141703, 135.7464077]","[[35.014418, 135.746763], [35.014418, 135.746127], [35.01397, 135.746763], [35.01397, 135.746127]]",27,"['Nijō Castle, 二条城']",[43]
8,"[35.01506601, 135.74679277]","[[35.015095, 135.746898], [35.015095, 135.74643], [35.01478, 135.746898], [35.01478, 135.74643]]",20,"['Nijō Castle, 二条城']",[43]
9,"[35.01426733, 135.74730666]","[[35.014743, 135.7481], [35.014743, 135.746824], [35.013866, 135.7481], [35.013866, 135.746824]]",340,"['Nijō Castle, 二条城']",[43]
10,"[35.01509771, 135.74858509]","[[35.015288, 135.748972], [35.015288, 135.748127], [35.014532, 135.748972], [35.014532, 135.748127]]",29,"['Nijō Castle, 二条城']",[43]
11,"[35.01506068, 135.74784381]","[[35.015376, 135.748138], [35.015376, 135.747402], [35.014813, 135.748138], [35.014813, 135.747402]]",18,"['Nijō Castle, 二条城']",[43]
12,"[35.01357212, 135.74946964]","[[35.014158, 135.750587], [35.014158, 135.748819], [35.012983, 135.750587], [35.012983, 135.748819]]",806,"['Nijō Castle, 二条城']",[43]
13,"[35.01194576, 135.74976243]","[[35.012283, 135.749816], [35.012283, 135.749473], [35.01158, 135.749816], [35.01158, 135.749473]]",156,[],[]
14,"[35.01029172, 135.75029258]","[[35.010314, 135.750331], [35.010314, 135.75], [35.01, 135.750331], [35.01, 135.75]]",17,[],[]
15,"[35.01255181, 135.75261244]","[[35.013056, 135.753006], [35.013056, 135.75222], [35.01249, 135.753006], [35.01249, 135.75222]]",31,[],[]
16,"[35.01227882, 135.75193242]","[[35.012327, 135.751983], [35.012327, 135.751833], [35.012002, 135.751983], [35.012002, 135.751833]]",3,[],[]
17,"[35.01295989, 135.74990684]","[[35.012911, 135.749866], [35.012911, 135.749473], [35.012494, 135.749866], [35.012494, 135.749473]]",7,"['Nijō Castle, 二条城']",[43]
18,"[35.01290398, 135.75032454]","[[35.013379, 135.750727], [35.013379, 135.749908], [35.012475, 135.750727], [35.012475, 135.749908]]",682,"['Nijō Castle, 二条城']",[43]
19,"[35.01256798, 135.75037333]","[[35.012588, 135.750846], [35.012588, 135.750069], [35.012283, 135.750846], [35.012283, 135.750069]]",55,"['Nijō Castle, 二条城']",[43]
20,"[35.01353108, 135.74695949]","[[35.013908, 135.747313], [35.013908, 135.746555], [35.013041, 135.747313], [35.013041, 135.746555]]",151,"['Nijō Castle, 二条城']",[43]
21,"[35.01501481, 135.74924566]","[[35.015516, 135.749661], [35.015516, 135.749058], [35.014603, 135.749661], [35.014603, 135.749058]]",24,"['Nijō Castle, 二条城']",[43]
22,"[35.01238349, 135.74931462]","[[35.012519, 135.749398], [35.012519, 135.749194], [35.012283, 135.749398], [35.012283, 135.749194]]",8,"['Nijō Castle, 二条城']",[43]
23,"[35.01164042, 135.74739833]","[[35.012002, 135.747466], [35.012002, 135.74707], [35.011515, 135.747466], [35.011515, 135.74707]]",16,[],[]
24,"[35.01410699, 135.74918185]","[[35.0143, 135.749816], [35.0143, 135.749461], [35.014251, 135.749816], [35.014251, 135.749461]]",3,"['Nijō Castle, 二条城']",[43]
25,"[35.0139523, 135.74878096]","[[35.014489, 135.749163], [35.014489, 135.748383], [35.013833, 135.749163], [35.013833, 135.748383]]",221,"['Nijō Castle, 二条城']",[43]
26,"[35.01399872, 135.74840606]","[[35.014321, 135.748443], [35.014321, 135.748014], [35.013548, 135.748443], [35.013548, 135.748014]]",110,"['Nijō Castle, 二条城']",[43]
27,"[35.01241273, 135.74672677]","[[35.012423, 135.74707], [35.012423, 135.746726], [35.012142, 135.74707], [35.012142, 135.746726]]",540,"['Nijō Castle, 二条城']",[43]
28,"[35.01377061, 135.74767537]","[[35.014168, 135.748055], [35.014168, 135.747369], [35.013407, 135.748055], [35.013407, 135.747369]]",311,"['Nijō Castle, 二条城']",[43]
29,"[35.01304081, 135.74795246]","[[35.0132, 135.748005], [35.0132, 135.747563], [35.012833, 135.748005], [35.012833, 135.747563]]",10,"['Nijō Castle, 二条城']",[43]
30,"[35.01029246, 135.75189571]","[[35.010385, 135.752391], [35.010385, 135.751876], [35.010174, 135.752391], [35.010174, 135.751876]]",12,[],[]
31,"[35.01021705, 135.75117671]","[[35.010596, 135.751533], [35.010596, 135.750935], [35.009861, 135.751533], [35.009861, 135.750935]]",149,[],[]
32,"[35.01122518, 135.74969424]","[[35.011439, 135.75016], [35.011439, 135.749301], [35.010947, 135.75016], [35.010947, 135.749301]]",517,[],[]
33,"[35.01073248, 135.74906991]","[[35.0108, 135.749301], [35.0108, 135.749], [35.010314, 135.749301], [35.010314, 135.749]]",100,[],[]
34,"[35.01156131, 135.74930712]","[[35.011791, 135.749387], [35.011791, 135.748872], [35.011158, 135.749387], [35.011158, 135.748872]]",527,[],[]
35,"[35.01201314, 135.7512482]","[[35.012353, 135.7515], [35.012353, 135.750954], [35.011606, 135.7515], [35.011606, 135.750954]]",509,[],[]
36,"[35.01074614, 135.75066726]","[[35.011017, 135.750846], [35.011017, 135.750331], [35.010525, 135.750846], [35.010525, 135.750331]]",318,[],[]
37,"[35.01089406, 135.75221048]","[[35.011158, 135.752563], [35.011158, 135.751876], [35.01073, 135.752563], [35.01073, 135.751876]]",15,[],[]
38,"[35.01088056, 135.75183796]","[[35.011097, 135.751724], [35.011097, 135.751533], [35.010666, 135.751724], [35.010666, 135.751533]]",34,[],[]
39,"[35.01074151, 135.75119116]","[[35.011017, 135.751361], [35.011017, 135.75119], [35.010736, 135.751361], [35.010736, 135.75119]]",71,[],[]
40,"[35.01151543, 135.75125237]","[[35.011648, 135.751516], [35.011648, 135.750846], [35.011177, 135.751516], [35.011177, 135.750846]]",227,[],[]
41,"[35.01484242, 135.74982675]","[[35.015, 135.75], [35.015, 135.749816], [35.014813, 135.75], [35.014813, 135.749816]]",7,"['Nijō Castle, 二条城']",[43]
42,"[35.01484745, 135.75043959]","[[35.015235, 135.75119], [35.015235, 135.750052], [35.014308, 135.75119], [35.014308, 135.750052]]",121,"['Nijō Castle, 二条城']",[43]
43,"[35.01287029, 135.75128255]","[[35.013337, 135.751769], [35.013337, 135.750869], [35.012643, 135.751769], [35.012643, 135.750869]]",102,"['Nijō Castle, 二条城']",[43]
44,"[35.01287073, 135.75088438]","[[35.013124, 135.750886], [35.013124, 135.750769], [35.012425, 135.750886], [35.012425, 135.750769]]",6,"['Nijō Castle, 二条城']",[43]
45,"[35.01330062, 135.75182408]","[[35.013758, 135.752213], [35.013758, 135.751602], [35.012883, 135.752213], [35.012883, 135.751602]]",35,[],[]
46,"[35.01421298, 135.75114346]","[[35.014251, 135.75119], [35.014251, 135.750747], [35.014011, 135.75119], [35.014011, 135.750747]]",42,"['Nijō Castle, 二条城']",[43]
47,"[35.01502291, 135.78246649]","[[35.017058, 135.78321], [35.017058, 135.7815], [35.014263, 135.78321], [35.014263, 135.7815]]",881,[],[]
48,"[35.01405331, 135.78225403]","[[35.01495, 135.78278], [35.01495, 135.780823], [35.013355, 135.78278], [35.013355, 135.780823]]",75,"['Okazaki Park, 岡崎公園']",[60]
49,"[35.01638137, 135.78082162]","[[35.01698, 135.781056], [35.01698, 135.780302], [35.015663, 135.781056], [35.015663, 135.780302]]",86,"['Heian Shrine, 平安神宮']",[59]
50,"[35.01700493, 135.78175744]","[[35.017447, 135.782432], [35.017447, 135.781059], [35.017274, 135.782432], [35.017274, 135.781059]]",24,"['Heian Shrine, 平安神宮']",[59]
51,"[35.01635407, 135.78157074]","[[35.01715, 135.781904], [35.01715, 135.780808], [35.015913, 135.781904], [35.015913, 135.780808]]",157,"['Heian Shrine, 平安神宮']",[59]
52,"[35.01584804, 135.78402497]","[[35.01655, 135.784809], [35.01655, 135.783312], [35.014666, 135.784809], [35.014666, 135.783312]]",186,"['Heian Shrine, 平安神宮']",[59]
53,"[35.01687116, 135.78334767]","[[35.017485, 135.783725], [35.017485, 135.782833], [35.016666, 135.783725], [35.016666, 135.782833]]",28,"['Heian Shrine, 平安神宮']",[59]
54,"[35.00706923, 135.79118986]","[[35.007486, 135.79155], [35.007486, 135.790961], [35.006844, 135.79155], [35.006844, 135.790961]]",21,[],[]
55,"[35.0104509, 135.79512881]","[[35.01068, 135.795288], [35.01068, 135.794942], [35.010252, 135.795288], [35.010252, 135.794942]]",19,"['Nanzen-ji, 南禅寺']",[58]
56,"[35.01312539, 135.79368523]","[[35.013333, 135.794105], [35.013333, 135.792903], [35.012455, 135.794105], [35.012455, 135.792903]]",18,[],[]
57,"[35.01144392, 135.79443028]","[[35.011986, 135.794691], [35.011986, 135.794105], [35.011013, 135.794691], [35.011013, 135.794105]]",286,"['Nanzen-ji, 南禅寺']",[58]
58,"[35.01039191, 135.7922975]","[[35.010372, 135.792705], [35.010372, 135.791702], [35.00988, 135.792705], [35.00988, 135.791702]]",8,"['Nanzen-ji, 南禅寺']",[58]
59,"[35.0112804, 135.79259449]","[[35.012778, 135.793411], [35.012778, 135.791233], [35.01035, 135.793411], [35.01035, 135.791233]]",376,"['Nanzen-ji, 南禅寺']",[58]
60,"[35.01064145, 135.79376326]","[[35.011369, 135.79488], [35.011369, 135.793053], [35.009955, 135.79488], [35.009955, 135.793053]]",223,"['Nanzen-ji, 南禅寺']",[58]
61,"[35.00936435, 135.78076333]","[[35.010022, 135.781313], [35.010022, 135.780501], [35.008627, 135.781313], [35.008627, 135.780501]]",28,[],[]
62,"[35.00999626, 135.78143675]","[[35.01056, 135.781595], [35.01056, 135.781], [35.009947, 135.781595], [35.009947, 135.781]]",21,[],[]
63,"[35.00888177, 135.78809154]","[[35.009558, 135.788822], [35.009558, 135.787369], [35.008401, 135.788822], [35.008401, 135.787369]]",58,[],[]
64,"[35.01110348, 135.78204455]","[[35.011325, 135.782016], [35.011325, 135.781494], [35.010805, 135.782016], [35.010805, 135.781494]]",5,[],[]
65,"[35.01344029, 135.78470246]","[[35.013666, 135.784775], [35.013666, 135.784652], [35.013344, 135.784775], [35.013344, 135.784652]]",4,[],[]
66,"[35.00867242, 135.7901961]","[[35.00941, 135.791254], [35.00941, 135.789127], [35.00755, 135.791254], [35.00755, 135.789127]]",158,"['Nanzen-ji, 南禅寺']",[58]
67,"[35.00952823, 135.78952014]","[[35.010429, 135.790197], [35.010429, 135.78865], [35.008864, 135.790197], [35.008864, 135.78865]]",116,"['Nanzen-ji, 南禅寺']",[58]
68,"[35.01012633, 135.79024439]","[[35.010461, 135.790912], [35.010461, 135.790176], [35.010044, 135.790912], [35.010044, 135.790176]]",9,"['Nanzen-ji, 南禅寺']",[58]
69,"[35.01131159, 135.79027628]","[[35.011666, 135.790833], [35.011666, 135.789375], [35.010525, 135.790833], [35.010525, 135.789375]]",43,"['Nanzen-ji, 南禅寺']",[58]
70,"[35.01209328, 135.7827735]","[[35.013168, 135.783519], [35.013168, 135.781906], [35.011147, 135.783519], [35.011147, 135.781906]]",148,[],[]
71,"[35.01225963, 135.78376215]","[[35.012818, 135.784667], [35.012818, 135.783644], [35.012, 135.784667], [35.012, 135.783644]]",26,[],[]
72,"[35.01273425, 135.78626312]","[[35.013267, 135.787088], [35.013267, 135.785222], [35.012, 135.787088], [35.012, 135.785222]]",355,[],[]
73,"[35.01184642, 135.78602244]","[[35.012002, 135.786717], [35.012002, 135.785505], [35.011333, 135.786717], [35.011333, 135.785505]]",40,[],[]
74,"[35.01247442, 135.78541027]","[[35.012941, 135.785093], [35.012941, 135.784791], [35.01193, 135.785093], [35.01193, 135.784791]]",5,[],[]
75,"[35.01129957, 135.78833611]","[[35.012038, 135.789287], [35.012038, 135.787475], [35.010569, 135.789287], [35.010569, 135.787475]]",111,[],[]
76,"[35.01137881, 135.78756107]","[[35.011858, 135.787236], [35.011858, 135.786688], [35.011, 135.787236], [35.011, 135.786688]]",9,[],[]
77,"[35.01194189, 135.78791142]","[[35.012347, 135.788341], [35.012347, 135.78722], [35.01158, 135.788341], [35.01158, 135.78722]]",26,[],[]
78,"[35.01282007, 135.78725592]","[[35.013671, 135.78803], [35.013671, 135.786652], [35.012, 135.78803], [35.012, 135.786652]]",85,[],[]
79,"[35.02911895, 135.7359933]","[[35.029188, 135.736119], [35.029188, 135.735886], [35.028961, 135.736119], [35.028961, 135.735886]]",7,"['Kitano Tenmangū, 北野天満宮']",[33]
80,"[35.03223708, 135.73587877]","[[35.032291, 135.735922], [35.032291, 135.735822], [35.031972, 135.735922], [35.031972, 135.735822]]",5,"['Kitano Tenmangū, 北野天満宮']",[33]
81,"[35.02989229, 135.73532749]","[[35.030033, 135.735442], [35.030033, 135.735091], [35.029663, 135.735442], [35.029663, 135.735091]]",50,"['Kitano Tenmangū, 北野天満宮']",[33]
82,"[35.03043859, 135.73534178]","[[35.030777, 135.735666], [35.030777, 135.735049], [35.030109, 135.735666], [35.030109, 135.735049]]",182,"['Kitano Tenmangū, 北野天満宮']",[33]
83,"[35.03081275, 135.73508841]","[[35.030854, 135.735333], [35.030854, 135.734828], [35.030569, 135.735333], [35.030569, 135.734828]]",60,"['Kitano Tenmangū, 北野天満宮']",[33]
84,"[35.0305118, 135.73497675]","[[35.030664, 135.735], [35.030664, 135.734817], [35.030333, 135.735], [35.030333, 135.734817]]",16,"['Kitano Tenmangū, 北野天満宮']",[33]
85,"[35.03033, 135.7339925]","[[35.030344, 135.734005], [35.030344, 135.73393], [35.030027, 135.734005], [35.030027, 135.73393]]",3,"['Kitano Tenmangū, 北野天満宮']",[33]
86,"[35.03044511, 135.73458399]","[[35.030505, 135.734689], [35.030505, 135.7343], [35.03015, 135.734689], [35.03015, 135.7343]]",12,"['Kitano Tenmangū, 北野天満宮']",[33]
87,"[35.03124505, 135.73427531]","[[35.031286, 135.734508], [35.031286, 135.734195], [35.030972, 135.734508], [35.030972, 135.734195]]",9,"['Kitano Tenmangū, 北野天満宮']",[33]
88,"[35.03001249, 135.7349329]","[[35.030084, 135.734952], [35.030084, 135.734719], [35.029997, 135.734952], [35.029997, 135.734719]]",7,"['Kitano Tenmangū, 北野天満宮']",[33]
89,"[35.0297158, 135.73468693]","[[35.03, 135.734968], [35.03, 135.734627], [35.029552, 135.734968], [35.029552, 135.734627]]",35,"['Kitano Tenmangū, 北野天満宮']",[33]
90,"[35.03120794, 135.73510708]","[[35.031288, 135.735418], [35.031288, 135.734802], [35.030911, 135.735418], [35.030911, 135.734802]]",62,"['Kitano Tenmangū, 北野天満宮']",[33]
91,"[35.03151546, 135.7351611]","[[35.031702, 135.735594], [35.031702, 135.734775], [35.03095, 135.735594], [35.03095, 135.734775]]",62,"['Kitano Tenmangū, 北野天満宮']",[33]
92,"[35.03141768, 135.73569408]","[[35.031633, 135.736063], [35.031633, 135.735483], [35.031191, 135.736063], [35.031191, 135.735483]]",87,"['Kitano Tenmangū, 北野天満宮']",[33]
93,"[35.03119328, 135.73620708]","[[35.031422, 135.736466], [35.031422, 135.735924], [35.030988, 135.736466], [35.030988, 135.735924]]",14,[],[]
94,"[35.02990005, 135.73601611]","[[35.030186, 135.736083], [35.030186, 135.735805], [35.029713, 135.736083], [35.029713, 135.735805]]",196,[],[]
95,"[35.03067865, 135.73597787]","[[35.030861, 135.736102], [35.030861, 135.735654], [35.030372, 135.736102], [35.030372, 135.735654]]",62,"['Kitano Tenmangū, 北野天満宮']",[33]
96,"[35.03030317, 135.73585992]","[[35.030326, 135.735927], [35.030326, 135.73574], [35.030049, 135.735927], [35.030049, 135.73574]]",4,"['Kitano Tenmangū, 北野天満宮']",[33]
97,"[35.02944686, 135.73532614]","[[35.0295, 135.735441], [35.0295, 135.735288], [35.029038, 135.735441], [35.029038, 135.735288]]",9,"['Kitano Tenmangū, 北野天満宮']",[33]
98,"[35.027679, 135.73460706]","[[35.027836, 135.734863], [35.027836, 135.734544], [35.02755, 135.734863], [35.02755, 135.734544]]",27,[],[]
99,"[35.02794722, 135.73548732]","[[35.028305, 135.735772], [35.028305, 135.735344], [35.027747, 135.735772], [35.027747, 135.735344]]",33,[],[]
100,"[35.02834034, 135.7360096]","[[35.028627, 135.736019], [35.028627, 135.735833], [35.028336, 135.736019], [35.028336, 135.735833]]",4,[],[]
101,"[35.03818412, 135.72921675]","[[35.038359, 135.729217], [35.038359, 135.729045], [35.038148, 135.729217], [35.038148, 135.729045]]",6,"['Kinkaku-ji, 金閣寺']",[30]
102,"[35.03790187, 135.72921668]","[[35.038008, 135.729217], [35.038008, 135.729045], [35.037797, 135.729217], [35.037797, 135.729045]]",5,[],[]
103,"[35.04128359, 135.72905793]","[[35.041311, 135.729139], [35.041311, 135.729045], [35.04124, 135.729139], [35.04124, 135.729045]]",9,"['Kinkaku-ji, 金閣寺']",[30]
104,"[35.03902218, 135.72889815]","[[35.039247, 135.729188], [35.039247, 135.728362], [35.03871, 135.729188], [35.03871, 135.728362]]",316,"['Kinkaku-ji, 金閣寺']",[30]
105,"[35.03876119, 135.73180551]","[[35.03878, 135.731822], [35.03878, 135.731783], [35.038744, 135.731822], [35.038744, 135.731783]]",11,"['Kinkaku-ji, 金閣寺']",[30]
106,"[35.03918074, 135.72943861]","[[35.039222, 135.729669], [35.039222, 135.729238], [35.038877, 135.729669], [35.038877, 135.729238]]",269,"['Kinkaku-ji, 金閣寺']",[30]
107,"[35.03937603, 135.72933257]","[[35.039712, 135.72956], [35.039712, 135.729078], [35.039202, 135.72956], [35.039202, 135.729078]]",448,"['Kinkaku-ji, 金閣寺']",[30]
108,"[35.03896504, 135.729629]","[[35.038972, 135.729732], [35.038972, 135.729591], [35.038921, 135.729732], [35.038921, 135.729591]]",4,"['Kinkaku-ji, 金閣寺']",[30]
109,"[35.03913588, 135.73018501]","[[35.039208, 135.730533], [35.039208, 135.72998], [35.03888, 135.730533], [35.03888, 135.72998]]",35,"['Kinkaku-ji, 金閣寺']",[30]
110,"[35.03911665, 135.72999526]","[[35.039273, 135.72999], [35.039273, 135.729813], [35.038956, 135.72999], [35.038956, 135.729813]]",36,"['Kinkaku-ji, 金閣寺']",[30]
111,"[35.0390045, 135.7325515]","[[35.0392, 135.732575], [35.0392, 135.7324], [35.038977, 135.732575], [35.038977, 135.7324]]",8,[],[]
112,"[35.03925483, 135.73198161]","[[35.039302, 135.732166], [35.039302, 135.731991], [35.039166, 135.732166], [35.039166, 135.731991]]",3,[],[]
113,"[35.03927195, 135.73331398]","[[35.039306, 135.733383], [35.039306, 135.733273], [35.039112, 135.733383], [35.039112, 135.733273]]",5,[],[]
114,"[35.03911178, 135.73279984]","[[35.039188, 135.732986], [35.039188, 135.732772], [35.039075, 135.732986], [35.039075, 135.732772]]",4,[],[]
115,"[35.03930246, 135.73306706]","[[35.039333, 135.73308], [35.039333, 135.733], [35.039288, 135.73308], [35.039288, 135.733]]",3,[],[]
116,"[35.03924515, 135.73170281]","[[35.03936, 135.731979], [35.03936, 135.731422], [35.039138, 135.731979], [35.039138, 135.731422]]",33,"['Kinkaku-ji, 金閣寺']",[30]
117,"[35.03918897, 135.73147855]","[[35.039333, 135.731444], [35.039333, 135.731277], [35.039008, 135.731444], [35.039008, 135.731277]]",7,"['Kinkaku-ji, 金閣寺']",[30]
118,"[35.03997507, 135.7309834]","[[35.040005, 135.730988], [35.040005, 135.730777], [35.039958, 135.730988], [35.039958, 135.730777]]",4,"['Kinkaku-ji, 金閣寺']",[30]
119,"[35.0393218, 135.73106059]","[[35.039469, 135.731163], [35.039469, 135.7308], [35.039101, 135.731163], [35.039101, 135.7308]]",59,"['Kinkaku-ji, 金閣寺']",[30]
120,"[35.03951774, 135.73082656]","[[35.039741, 135.730936], [35.039741, 135.730721], [35.039339, 135.730936], [35.039339, 135.730721]]",31,"['Kinkaku-ji, 金閣寺']",[30]
121,"[35.03919347, 135.7306716]","[[35.039224, 135.730773], [35.039224, 135.73053], [35.039102, 135.730773], [35.039102, 135.73053]]",6,"['Kinkaku-ji, 金閣寺']",[30]
122,"[35.03998953, 135.73017041]","[[35.040116, 135.730416], [35.040116, 135.730129], [35.039802, 135.730416], [35.039802, 135.730129]]",49,"['Kinkaku-ji, 金閣寺']",[30]
123,"[35.04005017, 135.72904533]","[[35.040255, 135.729314], [35.040255, 135.72883], [35.039752, 135.729314], [35.039752, 135.72883]]",87,"['Kinkaku-ji, 金閣寺']",[30]
124,"[35.04013939, 135.72883946]","[[35.040256, 135.728821], [35.040256, 135.72853], [35.040108, 135.728821], [35.040108, 135.72853]]",45,"['Kinkaku-ji, 金閣寺']",[30]
125,"[35.04017223, 135.72958587]","[[35.040333, 135.729789], [35.040333, 135.729425], [35.039905, 135.729789], [35.039905, 135.729425]]",33,"['Kinkaku-ji, 金閣寺']",[30]
126,"[35.04026241, 135.72923367]","[[35.040488, 135.729389], [35.040488, 135.729063], [35.040116, 135.729389], [35.040116, 135.729063]]",111,"['Kinkaku-ji, 金閣寺']",[30]
127,"[35.04018917, 135.72996487]","[[35.040306, 135.730113], [35.040306, 135.729797], [35.040027, 135.730113], [35.040027, 135.729797]]",35,"['Kinkaku-ji, 金閣寺']",[30]
128,"[35.04030364, 135.72977383]","[[35.040443, 135.729902], [35.040443, 135.729708], [35.040332, 135.729902], [35.040332, 135.729708]]",4,"['Kinkaku-ji, 金閣寺']",[30]
129,"[35.03969055, 135.7298182]","[[35.039694, 135.72999], [35.039694, 135.729818], [35.039554, 135.72999], [35.039554, 135.729818]]",10,"['Kinkaku-ji, 金閣寺']",[30]
130,"[35.03997542, 135.7285783]","[[35.040158, 135.728733], [35.040158, 135.7283], [35.039844, 135.728733], [35.039844, 135.7283]]",45,"['Kinkaku-ji, 金閣寺']",[30]
131,"[35.03985677, 135.72813622]","[[35.040054, 135.728327], [35.040054, 135.728041], [35.039888, 135.728327], [35.039888, 135.728041]]",12,"['Kinkaku-ji, 金閣寺']",[30]
132,"[35.03969916, 135.72824836]","[[35.039866, 135.728359], [35.039866, 135.728041], [35.039558, 135.728359], [35.039558, 135.728041]]",17,"['Kinkaku-ji, 金閣寺']",[30]
133,"[35.03958672, 135.7283945]","[[35.039782, 135.728563], [35.039782, 135.728187], [35.03929, 135.728563], [35.03929, 135.728187]]",166,"['Kinkaku-ji, 金閣寺']",[30]
134,"[35.03886052, 135.72799678]","[[35.038992, 135.728187], [35.038992, 135.727844], [35.038811, 135.728187], [35.038811, 135.727844]]",29,"['Kinkaku-ji, 金閣寺']",[30]
135,"[35.03938506, 135.7287963]","[[35.039522, 135.729], [35.039522, 135.72874], [35.039246, 135.729], [35.039246, 135.72874]]",66,"['Kinkaku-ji, 金閣寺']",[30]
136,"[35.03953964, 135.72868699]","[[35.039845, 135.728897], [35.039845, 135.728466], [35.039372, 135.728897], [35.039372, 135.728466]]",248,"['Kinkaku-ji, 金閣寺']",[30]
137,"[35.03964833, 135.77084421]","[[35.04, 135.771], [35.04, 135.770755], [35.0395, 135.771], [35.0395, 135.770755]]",9,[],[]
138,"[35.03571616, 135.77218979]","[[35.035776, 135.772627], [35.035776, 135.7721], [35.035633, 135.772627], [35.035633, 135.7721]]",11,"['Shimogamo-Jinja, 下鴨神社']",[44]
139,"[35.03508892, 135.77240483]","[[35.035604, 135.772626], [35.035604, 135.7723], [35.035166, 135.772626], [35.035166, 135.7723]]",65,"['Shimogamo-Jinja, 下鴨神社']",[44]
140,"[35.03456243, 135.77238207]","[[35.035116, 135.773183], [35.035116, 135.772305], [35.03409, 135.773183], [35.03409, 135.772305]]",12,"['Shimogamo-Jinja, 下鴨神社']",[44]
141,"[35.03453753, 135.77211512]","[[35.035056, 135.772597], [35.035056, 135.771225], [35.034002, 135.772597], [35.034002, 135.771225]]",46,"['Shimogamo-Jinja, 下鴨神社']",[44]
142,"[35.03635673, 135.77281154]","[[35.036883, 135.772966], [35.036883, 135.772304], [35.035744, 135.772966], [35.035744, 135.772304]]",32,"['Shimogamo-Jinja, 下鴨神社']",[44]
143,"[35.03753519, 135.77270035]","[[35.038066, 135.773093], [35.038066, 135.772202], [35.037094, 135.773093], [35.037094, 135.772202]]",122,"['Shimogamo-Jinja, 下鴨神社']",[44]
144,"[35.03692302, 135.77251007]","[[35.037063, 135.773035], [35.037063, 135.772044], [35.03678, 135.773035], [35.03678, 135.772044]]",14,"['Shimogamo-Jinja, 下鴨神社']",[44]
145,"[35.03902981, 135.77135347]","[[35.039211, 135.771666], [35.039211, 135.770833], [35.038811, 135.771666], [35.038811, 135.770833]]",10,"['Shimogamo-Jinja, 下鴨神社']",[44]
146,"[35.03891289, 135.77232529]","[[35.039166, 135.772333], [35.039166, 135.771789], [35.038516, 135.772333], [35.038516, 135.771789]]",17,"['Shimogamo-Jinja, 下鴨神社']",[44]
147,"[35.03870595, 135.7729766]","[[35.039554, 135.773666], [35.039554, 135.772483], [35.038148, 135.773666], [35.038148, 135.772483]]",144,"['Shimogamo-Jinja, 下鴨神社']",[44]
148,"[35.03831348, 135.77286087]","[[35.038359, 135.77342], [35.038359, 135.772383], [35.037867, 135.77342], [35.037867, 135.772383]]",427,"['Shimogamo-Jinja, 下鴨神社']",[44]
149,"[35.03189554, 135.76210233]","[[35.03257, 135.762863], [35.03257, 135.761463], [35.031143, 135.762863], [35.031143, 135.761463]]",19,"['Shōkoku-ji, 相国寺']",[40]
150,"[35.01126322, 135.75563085]","[[35.01172, 135.756168], [35.01172, 135.755], [35.010596, 135.756168], [35.010596, 135.755]]",129,[],[]
151,"[34.99465405, 135.78511744]","[[34.995867, 135.786666], [34.995867, 135.783816], [34.993755, 135.786666], [34.993755, 135.783816]]",2600,"['Kiyomizu-dera, 清水寺']",[68]
152,"[34.99386303, 135.78499849]","[[34.993911, 135.785522], [34.993911, 135.784233], [34.993033, 135.785522], [34.993033, 135.784233]]",45,"['Kiyomizu-dera, 清水寺']",[68]
153,"[34.99302195, 135.78502392]","[[34.993116, 135.785516], [34.993116, 135.784546], [34.992632, 135.785516], [34.992632, 135.784546]]",86,"['Kiyomizu-dera, 清水寺']",[68]
154,"[34.99362841, 135.78392592]","[[34.993863, 135.783952], [34.993863, 135.783462], [34.993581, 135.783952], [34.993581, 135.783462]]",19,"['Kiyomizu-dera, 清水寺']",[68]
155,"[34.99543977, 135.78308368]","[[34.996253, 135.783805], [34.996253, 135.781906], [34.994469, 135.783805], [34.994469, 135.781906]]",984,"['Kiyomizu-dera, 清水寺']",[68]
156,"[34.99520861, 135.78373817]","[[34.995972, 135.784149], [34.995972, 135.7835], [34.994611, 135.784149], [34.994611, 135.7835]]",230,"['Kiyomizu-dera, 清水寺']",[68]
157,"[34.99473973, 135.78355256]","[[34.994588, 135.783763], [34.994588, 135.783166], [34.994333, 135.783763], [34.994333, 135.783166]]",7,"['Kiyomizu-dera, 清水寺']",[68]
