pid,center_gps,coordinate,photo_counts,matched_aoi,matched_aid
1360,"[35.0965975, 135.849617]","[[35.096844, 135.84964], [35.096844, 135.849475], [35.096565, 135.84964], [35.096565, 135.849475]]",3,[],[]
1361,"[35.09653899, 135.84917038]","[[35.096652, 135.84933], [35.096652, 135.848975], [35.096522, 135.84933], [35.096522, 135.848975]]",7,[],[]
1362,"[35.09661187, 135.85007205]","[[35.096766, 135.850088], [35.096766, 135.850063], [35.096586, 135.850088], [35.096586, 135.850063]]",6,[],[]
1363,"[35.05367362, 135.78574462]","[[35.053824, 135.785822], [35.053824, 135.785563], [35.053583, 135.785822], [35.053583, 135.785563]]",6,[],[]
1364,"[35.12361022, 135.82205698]","[[35.123833, 135.822158], [35.123833, 135.821666], [35.123511, 135.822158], [35.123511, 135.821666]]",12,[],[]
1365,"[35.12399934, 135.82105624]","[[35.124401, 135.821341], [35.124401, 135.821], [35.123666, 135.821341], [35.123666, 135.821]]",23,"['Jakko-in Temple, 寂光院']",[47]
1366,"[35.02476287, 135.67118769]","[[35.024977, 135.671347], [35.024977, 135.671147], [35.024688, 135.671347], [35.024688, 135.671147]]",5,[],[]
1367,"[35.06581562, 135.83528508]","[[35.066043, 135.835463], [35.066043, 135.835036], [35.065747, 135.835463], [35.065747, 135.835036]]",7,[],[]
1368,"[35.06576655, 135.83444064]","[[35.065791, 135.834472], [35.065791, 135.834425], [35.065708, 135.834472], [35.065708, 135.834425]]",3,[],[]
1369,"[35.06538782, 135.83416682]","[[35.065536, 135.834183], [35.065536, 135.834061], [35.065272, 135.834183], [35.065272, 135.834061]]",4,[],[]
1370,"[35.0661869, 135.82586389]","[[35.066322, 135.826233], [35.066322, 135.825805], [35.066108, 135.826233], [35.066108, 135.825805]]",5,[],[]
1371,"[35.10585409, 135.8433423]","[[35.105994, 135.843352], [35.105994, 135.843094], [35.105833, 135.843352], [35.105833, 135.843094]]",4,[],[]
1372,"[35.10871577, 135.83428214]","[[35.108833, 135.834336], [35.108833, 135.834275], [35.108652, 135.834336], [35.108652, 135.834275]]",4,[],[]
1373,"[34.8812132, 135.70004414]","[[34.881222, 135.700102], [34.881222, 135.700044], [34.881097, 135.700102], [34.881097, 135.700044]]",3,[],[]
1374,"[34.88029911, 135.70095076]","[[34.880397, 135.701305], [34.880397, 135.700894], [34.880198, 135.701305], [34.880198, 135.700894]]",4,[],[]
1375,"[34.87896243, 135.7002079]","[[34.879377, 135.700417], [34.879377, 135.699778], [34.878657, 135.700417], [34.878657, 135.699778]]",34,[],[]
1376,"[34.87977, 135.70084391]","[[34.879819, 135.700852], [34.879819, 135.700408], [34.879617, 135.700852], [34.879617, 135.700408]]",5,[],[]
1377,"[34.87802345, 135.69951073]","[[34.878027, 135.699522], [34.878027, 135.699508], [34.878013, 135.699522], [34.878013, 135.699508]]",3,[],[]
1378,"[34.88326204, 135.70168154]","[[34.883272, 135.701766], [34.883272, 135.701675], [34.883252, 135.701766], [34.883252, 135.701675]]",3,[],[]
1379,"[34.97226809, 135.76958647]","[[34.97255, 135.769638], [34.97255, 135.769394], [34.972072, 135.769638], [34.972072, 135.769394]]",10,[],[]
1380,"[34.97286901, 135.76904722]","[[34.973063, 135.769255], [34.973063, 135.76883], [34.972675, 135.769255], [34.972675, 135.76883]]",7,[],[]
1381,"[34.95786684, 135.77061499]","[[34.957872, 135.770652], [34.957872, 135.770597], [34.957861, 135.770652], [34.957861, 135.770597]]",3,[],[]
1382,"[34.95764935, 135.77046398]","[[34.957691, 135.770469], [34.957691, 135.77043], [34.957438, 135.770469], [34.957438, 135.77043]]",3,[],[]
1383,"[34.95572706, 135.7704914]","[[34.955738, 135.770494], [34.955738, 135.770461], [34.955697, 135.770494], [34.955697, 135.770461]]",3,[],[]
1384,"[34.95566131, 135.77039106]","[[34.955663, 135.770402], [34.955663, 135.770386], [34.955658, 135.770402], [34.955658, 135.770386]]",3,[],[]
1385,"[34.95564059, 135.77024749]","[[34.955691, 135.770277], [34.955691, 135.770233], [34.95563, 135.770277], [34.95563, 135.770233]]",5,[],[]
1386,"[34.95617298, 135.77051499]","[[34.956177, 135.770522], [34.956177, 135.770461], [34.956105, 135.770522], [34.956105, 135.770461]]",3,[],[]
1387,"[35.00118799, 135.8192932]","[[35.00148, 135.819397], [35.00148, 135.818818], [35.000744, 135.819397], [35.000744, 135.818818]]",57,[],[]
1388,"[35.01510199, 135.70017458]","[[35.015567, 135.700637], [35.015567, 135.7], [35.015, 135.700637], [35.015, 135.7]]",18,[],[]
1389,"[35.00589799, 135.79492127]","[[35.005969, 135.795105], [35.005969, 135.79483], [35.005722, 135.795105], [35.005722, 135.79483]]",5,[],[]
1390,"[35.00636259, 135.79513305]","[[35.006502, 135.795227], [35.006502, 135.794861], [35.006269, 135.795227], [35.006269, 135.794861]]",5,[],[]
1391,"[35.01955803, 135.81182942]","[[35.019672, 135.811858], [35.019672, 135.811752], [35.01953, 135.811858], [35.01953, 135.811752]]",6,[],[]
1392,"[35.0184365, 135.80983462]","[[35.018552, 135.809997], [35.018552, 135.809813], [35.018422, 135.809997], [35.018422, 135.809813]]",4,[],[]
1393,"[35.01927663, 135.80511189]","[[35.019325, 135.805419], [35.019325, 135.804886], [35.019122, 135.805419], [35.019122, 135.804886]]",7,[],[]
1394,"[35.01911139, 135.80543321]","[[35.019058, 135.805738], [35.019058, 135.805463], [35.018952, 135.805738], [35.018952, 135.805463]]",3,[],[]
1395,"[35.01959642, 135.80094353]","[[35.019672, 135.800994], [35.019672, 135.800919], [35.019572, 135.800994], [35.019572, 135.800919]]",3,[],[]
1396,"[35.0198273, 135.80132407]","[[35.019877, 135.801344], [35.019877, 135.801086], [35.019769, 135.801344], [35.019769, 135.801086]]",4,[],[]
1397,"[35.10584575, 135.76375033]","[[35.10598, 135.7638], [35.10598, 135.763725], [35.105705, 135.7638], [35.105705, 135.763725]]",8,[],[]
1398,"[35.10590346, 135.76338375]","[[35.106166, 135.763391], [35.106166, 135.763166], [35.105833, 135.763391], [35.105833, 135.763166]]",8,[],[]
1399,"[35.05927794, 135.75851216]","[[35.059279, 135.758561], [35.059279, 135.758511], [35.059222, 135.758561], [35.059222, 135.758511]]",4,[],[]
1400,"[35.00738413, 135.8763483]","[[35.007643, 135.876492], [35.007643, 135.875666], [35.007151, 135.876492], [35.007151, 135.875666]]",7,[],[]
1401,"[35.03866598, 135.76683298]","[[35.038666, 135.767165], [35.038666, 135.7665], [35.038613, 135.767165], [35.038613, 135.7665]]",4,[],[]
1402,"[35.03822771, 135.76678439]","[[35.038252, 135.767034], [35.038252, 135.766674], [35.037867, 135.767034], [35.037867, 135.766674]]",8,[],[]
1403,"[35.0108614, 135.68114474]","[[35.011, 135.681324], [35.011, 135.681061], [35.010816, 135.681324], [35.010816, 135.681061]]",5,[],[]
